Names,Links
Iron Hands,https://www.serebii.net/pokedex-sv/ironhands/
Iron Jugulis,https://www.serebii.net/pokedex-sv/ironjugulis/
Iron Moth,https://www.serebii.net/pokedex-sv/ironmoth/
Iron Thorns,https://www.serebii.net/pokedex-sv/ironthorns/
Frigibax,https://www.serebii.net/pokedex-sv/frigibax/
Arctibax,https://www.serebii.net/pokedex-sv/arctibax/
Baxcalibur,https://www.serebii.net/pokedex-sv/baxcalibur/
Gimmighoul,https://www.serebii.net/pokedex-sv/gimmighoul/
Gholdengo,https://www.serebii.net/pokedex-sv/gholdengo/
Wo-Chien,https://www.serebii.net/pokedex-sv/wo-chien/
Chien-Pao,https://www.serebii.net/pokedex-sv/chien-pao/
Ting-Lu,https://www.serebii.net/pokedex-sv/ting-lu/
Chi-Yu,https://www.serebii.net/pokedex-sv/chi-yu/
Roaring Moon,https://www.serebii.net/pokedex-sv/roaringmoon/
Iron Valiant,https://www.serebii.net/pokedex-sv/ironvaliant/
Koraidon,https://www.serebii.net/pokedex-sv/koraidon/
Miraidon,https://www.serebii.net/pokedex-sv/miraidon/
Spinarak,https://www.serebii.net/pokedex-sv/spinarak/
Ariados,https://www.serebii.net/pokedex-sv/ariados/
Yanma,https://www.serebii.net/pokedex-sv/yanma/
Yanmega,https://www.serebii.net/pokedex-sv/yanmega/
Quagsire,https://www.serebii.net/pokedex-sv/quagsire/
Poochyena,https://www.serebii.net/pokedex-sv/poochyena/
Mightyena,https://www.serebii.net/pokedex-sv/mightyena/
Volbeat,https://www.serebii.net/pokedex-sv/volbeat/
Illumise,https://www.serebii.net/pokedex-sv/illumise/
Corphish,https://www.serebii.net/pokedex-sv/corphish/
Crawdaunt,https://www.serebii.net/pokedex-sv/crawdaunt/
Sewaddle,https://www.serebii.net/pokedex-sv/sewaddle/
Swadloon,https://www.serebii.net/pokedex-sv/swadloon/
Leavanny,https://www.serebii.net/pokedex-sv/leavanny/
Cutiefly,https://www.serebii.net/pokedex-sv/cutiefly/
Ribombee,https://www.serebii.net/pokedex-sv/ribombee/
Ekans,https://www.serebii.net/pokedex-sv/ekans/
Arbok,https://www.serebii.net/pokedex-sv/arbok/
Bellsprout,https://www.serebii.net/pokedex-sv/bellsprout/
Weepinbell,https://www.serebii.net/pokedex-sv/weepinbell/
Victreebel,https://www.serebii.net/pokedex-sv/victreebel/
Sentret,https://www.serebii.net/pokedex-sv/sentret/
Furret,https://www.serebii.net/pokedex-sv/furret/
Dipplin,https://www.serebii.net/pokedex-sv/dipplin/
Vulpix,https://www.serebii.net/pokedex-sv/vulpix/
Ninetales,https://www.serebii.net/pokedex-sv/ninetales/
Poliwag,https://www.serebii.net/pokedex-sv/poliwag/
Poliwhirl,https://www.serebii.net/pokedex-sv/poliwhirl/
Poliwrath,https://www.serebii.net/pokedex-sv/poliwrath/
Politoed,https://www.serebii.net/pokedex-sv/politoed/
Hoothoot,https://www.serebii.net/pokedex-sv/hoothoot/
Noctowl,https://www.serebii.net/pokedex-sv/noctowl/
Aipom,https://www.serebii.net/pokedex-sv/aipom/
Ambipom,https://www.serebii.net/pokedex-sv/ambipom/
Swinub,https://www.serebii.net/pokedex-sv/swinub/
Piloswine,https://www.serebii.net/pokedex-sv/piloswine/
Mamoswine,https://www.serebii.net/pokedex-sv/mamoswine/
Seedot,https://www.serebii.net/pokedex-sv/seedot/
Nuzleaf,https://www.serebii.net/pokedex-sv/nuzleaf/
Shiftry,https://www.serebii.net/pokedex-sv/shiftry/
Phantump,https://www.serebii.net/pokedex-sv/phantump/
Trevenant,https://www.serebii.net/pokedex-sv/trevenant/
Poltchageist,https://www.serebii.net/pokedex-sv/poltchageist/
Sinistcha,https://www.serebii.net/pokedex-sv/sinistcha/
Geodude,https://www.serebii.net/pokedex-sv/geodude/
Graveler,https://www.serebii.net/pokedex-sv/graveler/
Golem,https://www.serebii.net/pokedex-sv/golem/
Timburr,https://www.serebii.net/pokedex-sv/timburr/
Gurdurr,https://www.serebii.net/pokedex-sv/gurdurr/
Conkeldurr,https://www.serebii.net/pokedex-sv/conkeldurr/
Morpeko,https://www.serebii.net/pokedex-sv/morpeko/
Munchlax,https://www.serebii.net/pokedex-sv/munchlax/
Snorlax,https://www.serebii.net/pokedex-sv/snorlax/
Lotad,https://www.serebii.net/pokedex-sv/lotad/
Lombre,https://www.serebii.net/pokedex-sv/lombre/
Ludicolo,https://www.serebii.net/pokedex-sv/ludicolo/
Nosepass,https://www.serebii.net/pokedex-sv/nosepass/
Probopass,https://www.serebii.net/pokedex-sv/probopass/
Grubbin,https://www.serebii.net/pokedex-sv/grubbin/
Charjabug,https://www.serebii.net/pokedex-sv/charjabug/
Vikavolt,https://www.serebii.net/pokedex-sv/vikavolt/
Sandshrew,https://www.serebii.net/pokedex-sv/sandshrew/
Sandslash,https://www.serebii.net/pokedex-sv/sandslash/
Gligar,https://www.serebii.net/pokedex-sv/gligar/
Gliscor,https://www.serebii.net/pokedex-sv/gliscor/
Vullaby,https://www.serebii.net/pokedex-sv/vullaby/
